address,City,rent per month in euro,rent per annum in euro,size range (sq ft),size range (sq m),key features,description,link
"415 Wick Lane, London E3.",London,3399,40788,740-175000,69-16258,"Studio G105 is a loft-style studio located in a newly refurbished warehouse space. The unit features high ceilings, plenty of natural light, exposed metal beams, and a mezzanine. This space is part of Cowarehousing, a full-service warehouse and work environment that offers beautiful communal spaces and adaptable private units. It is ideal for creating, storing, and selling goods and services. Cowarehousing also provides various amenities such as a community of local independent businesses, regular events and workshops, and a pet-friendly environment. Current residents include e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. This space can be used for various purposes such as an office, warehouse, workshop, industrial space, studio, storage, and more. Come and see if Tradestars Hackney Wick can be your next business headquarters.","Studio G105 is a loft-style studio located in a newly refurbished warehouse space. It features high ceilings, natural light, exposed metal beams, and a mezzanine. This space is part of Cowarehousing, a full-service warehouse and work environment with communal spaces and private units. It is ideal for creating, storing, and selling goods and services, and offers amenities such as a community of local businesses, events and workshops, and a pet-friendly environment. Current residents include a variety of businesses such as e-commerce brands, rug crafters, photographers, and more. This versatile space can be used for various purposes such as an office, warehouse, workshop, studio, or storage. Come see if Tradestars Hackney Wick is the perfect location for your business headquarters.",https://www.rightmove.co.uk/properties/145720403#/?channel=COM_LET
"1 Fore Street Avenue, London, EC2Y.",London,1542,18504,100-167912,9-15600,"Flexible workspace in Moorgate Private offices and coworking space for growing businesses and startups Phone booths for privacy Weekly events for collaboration and networking Amenities such as free beer and purified water Conveniently located near Moorgate Station Surrounded by diverse amenities and attractions Restaurants, bars, and cultural venues nearby","This flexible workspace in Moorgate provides private offices and coworking space for growing businesses and startups. It offers phone booths for privacy and hosts weekly events for collaboration and networking. The space also includes amenities such as free beer and purified water. Conveniently located near Moorgate Station, it is surrounded by diverse amenities and attractions, including restaurants, bars, and cultural venues.",https://www.rightmove.co.uk/properties/142661474#/?channel=COM_LET
"60 Whitechapel High Street, Whitechapel, London, E1 7PE.",London,20833,249996,5000-165000,465-15329,"Modern office building located in Whitechapel, London Incorporates elements of nature and sustainability Over 17,300 sq ft of outdoor space and rooftop garden Targeting BREEAM 'Excellent' and WELL 'Gold' certifications SmartScore certification Convenient access to transportation with 9 stations within a 10-minute walk Direct entrance to Aldgate East tube station Prioritizes health and wellbeing with amenities such as cycle hub, showers, and outdoor spaces on every floor Technology integrated into the building for enhanced working environment and efficient services","The Rowe is a modern office building in Whitechapel, London that prioritizes nature and sustainability. It boasts over 17,300 sq ft of outdoor space and a rooftop garden, and is aiming for BREEAM 'Excellent' and WELL 'Gold' certifications. With 9 nearby stations and a direct entrance to Aldgate East tube station, transportation is convenient. The building also promotes health and wellbeing with amenities like a cycle hub, showers, and outdoor spaces on each floor. Technology is seamlessly integrated to enhance the working environment and provide efficient services.",https://www.rightmove.co.uk/properties/136888787#/?channel=COM_LET
"415 Wick Lane, London E3.",London,2395,28740,616-345000,57-32052,"Studio A002 is a loft-style studio located in a newly refurbished warehouse space. The unit features high ceilings, plenty of natural light, exposed metal beams, and a mezzanine. This space is part of Cowarehousing, a full-service warehouse and work environment that offers beautiful communal spaces and adaptable private units. It is ideal for creating, storing, and selling goods and services. Cowarehousing also provides various amenities such as a community of local independent businesses, regular events and workshops, and is pet-friendly. Current residents include e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. This versatile space can be used for various purposes such as an office, warehouse, workshop, industrial space, studio, storage, and more. Come and see if Tradestars Hackney Wick can be your next business headquarters.","Studio A002 is a loft-style studio located in a newly refurbished warehouse space. It features high ceilings, natural light, exposed metal beams, and a mezzanine. This versatile space is part of Cowarehousing, a full-service warehouse and work environment with communal spaces and private units. Ideal for creating, storing, and selling goods and services, Cowarehousing offers amenities such as a community of local businesses, events and workshops, and is pet-friendly. Current residents include e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. This space can be used for various purposes such as an office, warehouse, workshop, industrial space, studio, or storage. Come see if Tradestars Hackney Wick is the perfect headquarters for your business.",https://www.rightmove.co.uk/properties/145724138#/?channel=COM_LET
"60 New Broad Street, London, EC2M.",London,45464,545562,8729,811,"Located in the heart of Central London, this recently delivered office space offers 8,729 sq.ft of fully fitted and ready-to-occupy CAT A plus space. Situated just 100m from Liverpool St Station, with easy access to various transportation options, including Mainline, Underground, Elizabeth Line, and Overground. The area boasts a plethora of amenities, including the nearby Broadgate. The space is available for rent at £62.50 psf, with rates at £20.38 psf and a service charge of £13.35 psf. The lease is valid until 21st January 2028, with the option for a managed solution. Contact us for more details.","Located in the heart of Central London, this recently delivered office space offers 8,729 sq.ft of fully fitted and ready-to-occupy CAT A plus space. Situated just 100m from Liverpool St Station, with easy access to various transportation options. The area boasts a plethora of amenities, including the nearby Broadgate. Available for rent at £62.50 psf, with rates at £20.38 psf and a service charge of £13.35 psf. Lease valid until 21st January 2028, with option for a managed solution. Contact us for more details.",https://www.rightmove.co.uk/properties/145015769#/?channel=COM_LET
"415 Wick Lane, London, E3.",London,1095,13140,201-160000,19-14864,"Full-service warehouse and work environment Private units and communal spaces available Community of local independent businesses Regular events and workshops Pet-friendly environment Versatile space for various uses Suitable for e-commerce brands, rug crafters, photographers, film producers, events companies, tattoo artists, and more Can be used as an office, warehouse, workshop, industrial space, studio, storage, and more Convenient location in Hackney Wick Ideal for businesses looking for a new HQ","Studio A004 at Tradestars Hackney Wick is a versatile and pet-friendly warehouse and work environment, offering private units and communal spaces for businesses to create, store, and sell their goods and services. With a vibrant community of local independent businesses, regular events and workshops, it is the perfect HQ for e-commerce brands, rug crafters, photographers, film producers, events companies, tattoo artists, and more. Come see if Tradestars Hackney Wick is the right fit for your business needs.",https://www.rightmove.co.uk/properties/148551023#/?channel=COM_LET
"415 Wick Lane, London, E3.",London,975,11700,150-160000,14-14864,"Studio A005 at Tradestars Hackney Wick is a full-service warehouse and work environment that offers private units and communal spaces for creating, storing, and selling goods and services. The monthly rent is £975 with an additional 8% service charge. The space is 150 sq/ft and is pet-friendly. The community of local independent businesses hosts regular events and workshops. Current residents include e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. This versatile space can be used for offices, warehouses, workshops, industrial purposes, studios, storage, and more. Come and see if Tradestars Hackney Wick can be your next business headquarters.","Studio A005 at Tradestars Hackney Wick is a versatile and pet-friendly workspace that offers private units and communal spaces for creating, storing, and selling goods and services. The monthly rent is £975 with an additional 8% service charge. The space is 150 sq/ft and is home to a community of local independent businesses, including e-commerce brands, rug crafters, photographers, film producers, events companies, and tattoo artists. It is suitable for various purposes such as offices, warehouses, workshops, studios, and storage. Join the vibrant community at Tradestars Hackney Wick and make it your next business headquarters.",https://www.rightmove.co.uk/properties/148552313#/?channel=COM_LET
"High Street, Croydon, London, CR0",London,2333,27996,1244-150000,116-13935,Experience the perfect blend of modern and traditional in this commercial building Ideal for your business needs Videophone entry system for added security Ample natural light for a bright and inviting workspace Serene Japanese garden for a unique and refreshing work environment Current availability can be checked through provided links,"Discover the ideal combination of modern and traditional elements in this commercial building, perfect for your business requirements. Boasting a videophone entry system, abundant natural light, and a tranquil Japanese garden, this space offers a distinctive and rejuvenating work setting. Check out the links below for current availability.",https://www.rightmove.co.uk/properties/135776588#/?channel=COM_LET
"Victoria House, Bloomsbury Square Gardens, WC1B, London.",London,8790,105480,289-142000,27-13192,"Grade II listed building in Holborn Variety of office spaces available Hot desks and dedicated offices Meeting rooms Excellent amenities On-site gym Professional reception area Suitable for businesses of all sizes Dedicated management team available Manned reception Central location in Bloomsbury Square Gardens Easily accessible by public transport Surrounded by shops, restaurants, and bars","This Grade II listed building in Holborn offers a variety of office spaces, meeting rooms, and amenities, including a gym and professional reception area. With a dedicated management team and manned reception, it is suitable for businesses of all sizes. Located in Bloomsbury Square Gardens, it is easily accessible by public transport and surrounded by shops, restaurants, and bars.",https://www.rightmove.co.uk/properties/141760193#/?channel=COM_LET
"103-105 Bunhill Row, Old Street, London, EC1Y 8LZ.",London,32130,385560,5712-139529,531-12963,"Modern and well-connected workspace Located at 103-105 Bunhill Row 28 storeys 11,000 sq ft of terraces Various amenities such as lounges, cafes, and technology integration Registered for WELL Core and Shell certification Aiming for a GOLD rating Targeting a Platinum WiredScore rating Vibrant and dynamic area Popular with creative and collaborative industries Popular with financial and professional occupiers Platform for both start-ups and global brands to thrive","HYLO is a modern and well-connected workspace located at 103-105 Bunhill Row. It features 28 storeys, 11,000 sq ft of terraces, and various amenities such as lounges, cafes, and technology integration. The building is registered for WELL Core and Shell certification and aims for a GOLD rating. It is also targeting a Platinum WiredScore rating. The location is popular with creative and collaborative industries, as well as financial and professional occupiers, making it a vibrant and dynamic area for both start-ups and global brands to thrive.",https://www.rightmove.co.uk/properties/105103127#/?channel=COM_LET
"2 Lakeside Drive, Park Royal, London, NW10 7FQ",London,11454,137448,4998-131704,464-12236,"Unique HQ office building Stunning view of a peaceful lake Grand reception area with full height atrium Ground floor café Conveniently located near Hanger Lane and Park Royal underground stations Suite options ranging from 4,998 to 131,704 sq ft","2 Lakeside is a modern and impressive office building situated by a serene lake. It boasts a spacious reception area with a striking atrium and a ground floor café. The building is conveniently located near Hanger Lane and Park Royal underground stations, both within a short 10-minute walk. It offers a range of suite options, from 4,998 to 131,704 sq ft.",https://www.rightmove.co.uk/properties/149775083#/?channel=COM_LET
"125 Kingsway, London, WC2B.",London,1800,21600,100-131500,9-12217,"Popular dog-friendly flexible workspace Located in historical area of Holborn Comfortable lounges, private offices, and modern conference rooms Amenities such as bike storage and showers available Convenient location next to Holborn Station Easy access to rest of London Plenty of options for socializing and dining in the area Nearby restaurants include My Old Dutch, London Cocktail Club, and Belgo","This dog-friendly flexible workspace is situated in the historic Holborn area and offers comfortable lounges, private offices, and modern conference rooms. Amenities like bike storage and showers are available, and the location next to Holborn Station provides easy access to the rest of London. There are also various options for socializing and dining nearby, such as My Old Dutch, London Cocktail Club, and Belgo.",https://www.rightmove.co.uk/properties/141761624#/?channel=COM_LET
"245 Hammersmith Road, London, W6 8PW.",London,26565,318780,5796-123260,538-11451,"New development located in vibrant area of Hammersmith Offers amenities such as Urban Park, retail and restaurant facilities High-quality features and spacious, flexible floorplans Collaborative workspaces and rooftop terraces Prime location with easy access to major destinations in London Home to well-known companies such as Disney, GE, UKTV, Fox International Channels, and Virgin Media Desirable destination for ambitious individuals and local community","245 Hammersmith is a new development in the bustling area of Hammersmith, offering a range of amenities such as an Urban Park, retail and dining options. The building features high-quality elements, spacious and adaptable floorplans, collaborative workspaces, and rooftop terraces. Its prime location provides easy access to popular destinations in London, including the West End, the City, and Heathrow Airport. The building is already home to renowned companies like Disney, GE, UKTV, Fox International Channels, and Virgin Media. With its convenient location and modern amenities, 245 Hammersmith is a sought-after destination for ambitious individuals and the local community.",https://www.rightmove.co.uk/properties/114722681#/?channel=COM_LET
"8 Devonshire Square, London, EC2M.",London,1583,18996,100-123153,9-11441,"Vibrant and innovative environment 10 floors of collaborative workspaces, private offices, and conference rooms Dog-friendly space Game room Onsite showers Convenient location near Liverpool Street Station and Spitalfields Market Perfect for entrepreneurs of all sizes Schedule a visit to see for yourself","This Devonshire Square office space offers a vibrant and innovative environment for entrepreneurs of all sizes. It features 10 floors of collaborative workspaces, private offices, and conference rooms, as well as a game room and onsite showers. Conveniently located near Liverpool Street Station and Spitalfields Market, this dog-friendly coworking space is the perfect home for your business. Schedule a visit today to experience it for yourself.",https://www.rightmove.co.uk/properties/142663502#/?channel=COM_LET
"5 Canada Square, London, E14 5AQ.",London,105988,1271856,29926-122313,2780-11363,"Stand-alone building designed by renowned architect Skidmore, Owings & Merrill Approximately 516,675 sq ft of space Floor plates range from 31,000 sq ft to 38,000 sq ft Available for immediate occupation on a longer term basis until October 2027 or on a shorter term all-inclusive basis Located in the prime core of Canary Wharf Easily accessible from DLR and Jubilee line stations Direct access to the Canada Square retail mall from its reception","This stand-alone building, designed by renowned architect Skidmore, Owings & Merrill, offers approximately 516,675 sq ft of space. Its floor plates range from 31,000 sq ft to 38,000 sq ft and it is available for immediate occupation on a longer term basis until October 2027 or on a shorter term all-inclusive basis. Located in the prime core of Canary Wharf, the building is easily accessible from DLR and Jubilee line stations and has direct access to the Canada Square retail mall from its reception.",https://www.rightmove.co.uk/properties/148613909#/?channel=COM_LET
